ProductName,Predicted_SubCategory,True_SubCategory
"""Moschino Men's Logo Slide Sandals - Black """,Slides/Slipper,Slides/Slipper
"""Gucci - Vintage Logo Leather Iphone® 8 Case - Mens - Black""",Tech Accessories,Tech Accessories
"""Innerraum Black I9 Wallet Belt Cross Body Bag""",Bags,Wallets
"""The North Face E-Tip Grip Gloves""",Gloves,Gloves
"""Saint Laurent Black SL M62 Sunglasses""",Eyewear,Eyewear
"""Nike Golf Vapor Pro Full-Grain Leather Golf Shoes""",Sneakers,Sneakers
"""Palm Angels Black Classic Rainbow Track Pants""",Active Pants,Active Pants
"""Amiri Ombre Plaid Cotton Shirt""",Denim,Shirts
"""Saint Laurent - Round Tortoiseshell-acetate Sunglasses - Mens - Tortoiseshell""",Eyewear,Eyewear
"""Men's Nike Air Max Camden Sport Slide""",Sneakers,Slides/Slipper
"""Iphone XR Wings cover""",Tech Accessories,Tech Accessories
"""Brunello Cucinelli Men's Floral Medallion Pocket Square - Orange""",Pocket Squares,Pocket Squares
"""Givenchy Black Bootcut Chino Trousers""",Chinos,Chinos
"""Thom Browne - 4-bar Stripe Technical Swim Shorts - Mens - Grey""",Shorts,Shorts
"""Men's Spar Tactel Zip-Front Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Norse Projects Ketel Mélange Fleece-Back Cotton-Jersey Sweatshirt""",T-Shirts,Sweatshirts/Hoodies
"""Panthero printed jeans""",Sneakers,Denim
"""Men's Stretch-Cotton Zip Sweatshirt w/ Logo Tag""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""3D cross iPhone XS max case""",Tech Accessories,Tech Accessories
"""contrast collar polo shirt""",Polos,Polos
"""Prada Logo Stretch-Cotton Shirt""",Sneakers,Shirts
"""Saint Laurent - Round Tortoiseshell-acetate Glasses - Mens - Tortoiseshell""",Eyewear,Eyewear
"""Loro Piana Summer Walk Full-Grain Leather Loafers""",Loafers,Loafers
"""Regular Institutional 10 Cotton Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Ripstop Track Pants W/ Knit Stripe""",Active Pants,Active Pants
"""Men's Cole Haan Washington Grand Wingtip""",Sandals,Oxfords
"""Zegna Men's 57MM Polarized Round Aviator Sunglasses - Black""",Eyewear,Eyewear
"""Men's Majestic International Firelight Tv Cotton Velour Robe""",Robes,Robes
"""VLTN camouflage tie""",Ties,Ties
"""Rochambeau Orange Yves Scherer Edition Jogger Lounge Pants""",Active Pants,Loungewear
"""Socks""",Sneakers,Socks
"""Rivieras - Classic 20° Canvas Loafers - Mens - Grey""",Loafers,Loafers
"""embroidered logo hooded gilet""",Vests,Vests
"""Hanro Men's Woolen Silk Turtleneck Tee - Anthracite """,T-Shirts,T-Shirts
"""Emporio Armani Men's M Line Stretch Wool Tuxedo - Solid Blue """,Tuxedos,Tuxedos
"""Sportivo pants""",Active Pants,Pants
"""Neil Barrett - Zipped-pocket Denim Jacket - Mens - Black""",Overshirts,Jackets
"""Tateossian Men's Sterling Silver Globe Cuff Links - Blue""",Cufflinks,Cufflinks
"""64 iPhone X case""",Tech Accessories,Tech Accessories
"""PRPS Men's Cloud Dye Fleece Hoodie - Red """,Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Alexander McQueen Men's 55MM Aviator Sunglasses - Endura Gold""",Eyewear,Eyewear
"""De Bonne Facture 7cm Prince Of Wales Checked Linen Tie""",Ties,Ties
"""Brunello Cucinelli Men's Birdseye Dot Pocket Square - Brown""",Pocket Squares,Pocket Squares
"""quilted padded gilet""",Slides/Slipper,Vests
"""Paul Smith - Pack Of Three Cotton-blend Boxer-briefs - Mens - Black""",Boxers & Briefs,Boxers & Briefs
"""Rhude White and Grey Bball Hi Sneakers""",Sneakers,Sneakers
"""Round Frame Sunglasses""",Eyewear,Eyewear
"""penny loafers""",Loafers,Loafers
"""These Violent Delights Have Violent Ends""",T-Shirts,T-Shirts
"""Bottega Veneta Intrecciato Leather Slippers Size: 42""",Loafers,Slides/Slipper
"""Maple Leaf Band Nylon Swim Shorts""",Active Pants,Shorts
"""Men's Zip-Front Cashmere Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Men's Grateful Dead Bear Graphic Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Gucci Ghost Chain Necklace""",Cufflinks,Jewelry
"""Gucci Ghost Ring""",Cufflinks,Jewelry
"""Men's Floral Logo Crewneck T-Shirt""",T-Shirts,T-Shirts
"""Cole Haan Men's Goldwyn Leather Slide Sandals - Dark Brown """,Slides/Slipper,Slides/Slipper
"""Logo belt""",Belts,Belts
"""Vince Men's Gino Shearling Lined Suede \u0026 Leather Loafer Slippers - Black """,Slides/Slipper,Slides/Slipper
"""Extreme tuxedo jacket""",Tuxedos,Tuxedos
"""Men's Hugo Dilanno North Stretch Cotton Polo Shirt""",Polos,Polos
"""Schiesser - Belted Cotton-waffle Robe - Mens - Blue""",Robes,Robes
"""Men's Arachno Arrow Graphic T-Shirt""",T-Shirts,T-Shirts
"""Cartier Men's 62MM Round Metal Sunglasses - Gold""",Eyewear,Eyewear
"""Men's Hyper-Laundered Pique Polo Shirt""",Polos,Polos
"""Burberry - Eddie Tb-logo Cotton-piqué Polo Shirt - Mens - Navy""",Polos,Polos
"""40mm 2.0 Logo Industrial Nylon Belt""",Belts,Belts
"""Balenciaga Men's New BB Logo Hoodie - Red """,Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Coup de Soleil shirt""",T-Shirts,Shirts
"""Gucci - GG-print Track Pants - Mens - Black Brown""",Active Pants,Active Pants
"""Fendi Timepieces Run Away Stainless Steel Bracelet Watch - Silver Green""",Watches,Watches
"""New Wayfarer Classic sunglasses""",Eyewear,Eyewear
"""RS-X3 trainers""",Sneakers,Sneakers
"""Versace - Pack Of Two Logo Stretch-cotton Boxer Briefs - Mens - Black""",Boxers & Briefs,Shorts
"""Alpha Industries Parachute Drawstring Jogger Pants""",Shorts,Pants
"""Saint Laurent Crewneck Tee in Black""",T-Shirts,T-Shirts
"""Men's Geometer Embroidered-Skull T-Shirt""",T-Shirts,T-Shirts
"""Garrett Leight - Emperor 52 Square-frame Sunglasses - Mens - Black""",Eyewear,Eyewear
"""Men's Rope-Trim Drawstring Chino Pants""",Active Pants,Chinos
"""Pool Logo Rubber Slide Sandals""",Slides/Slipper,Sandals
"""Versace - Baroque-print Swim Shorts - Mens - Gold Multi""",Shorts,Shorts
"""Gucci Black Leather Derbys""",Derbys,Derbys
"""Balenciaga Black Leather Explorer Belt Pack""",Bags,Bags
"""Boss Black Paule2 Polo""",Polos,Polos
"""Life Preserver (g-7) Nylon Vest""",Shorts,Vests
"""Polartec Overshirt""",Overshirts,Overshirts
"""Oversize Nylon Track Pants""",Active Pants,Active Pants
"""Dion Lee Khaki Corrugated Tank Top""",T-Shirts,T-Shirts
"""Versace Men's Logo Toweling Baroque Bathrobe - Red """,Robes,Robes
"""Pack Of 2 Logo Cotton Boxer Briefs""",Boxers & Briefs,Boxers & Briefs
"""Saint Laurent Teddy Tweed Jacket in Black""",T-Shirts,Jackets
"""logo patch gloves""",Gloves,Gloves
"""Gucci Logo-Embossed Rubber Slides""",Slides/Slipper,Slides/Slipper
"""Marine Serre Black Moire Logo Cap""",Hats,Hats
"""Balenciaga Black Seamless Tuxedo Blazer""",Tuxedos,Tuxedos
"""Versace Men's Logo-Embroidered Cotton T-Shirt - Optical White """,T-Shirts,T-Shirts
"""Orlebar Brown Men's Slim-Fit Melange Linen T-Shirt - Seabreeze """,T-Shirts,T-Shirts
"""Logo Tech Slide Sandals""",Slides/Slipper,Sandals
"""Ami de Coeur t-shirt""",T-Shirts,T-Shirts
"""Ray-Ban Men's RB3609 54MM Classic Aviator Sunglasses - Black""",Eyewear,Eyewear
"""Lunetterie Generale - Spitfire Aviator 18kt Gold-plated Sunglasses - Mens - Gold""",Eyewear,Eyewear
"""Men's Delave Stretch-Cotton Chino Pants""",Chinos,Chinos
"""Rick Owens - Double-strap Leather Slides - Mens - Black""",Slides/Slipper,Slides/Slipper
"""Fancy Fendi Logo Leather \u0026 Mesh Sneakers""",Sneakers,Sneakers
"""Moschino Logo iPhone X / XS iPhone Case with Chain""",Tech Accessories,Tech Accessories
"""Gel-Venture 7 SPS Trainers""",Sneakers,Sneakers
"""Osan long-sleeved top""",Loafers,Shirts
"""Copacabana swim shorts""",Shorts,Shorts
"""high-top sock-style sneakers""",Sneakers,Sneakers
"""Ankle Boots""",Jackets,Boots
"""Eyevan 7285 Black and Gold Epitome Sunglasses""",Eyewear,Eyewear
"""Oversize short sleeve printed shirt""",Shirts,Shirts
"""Gucci Silver and Black G-Timeless Automatic Bees Watch""",Watches,Watches
"""Neil Barrett - Quilted Neoprene-jersey Track Pants - Mens - Black""",Active Pants,Active Pants
"""Palmer//harding - Paul Grandad-collar And Bib Cotton Tunic Shirt - Mens - Navy""",T-Shirts,Shirts
"""Vilebrequin Men's Mahina Koala Print Swim Trunks - Sea Blue """,Shorts,Shorts
"""FF trainers""",Sneakers,Sneakers
"""Polo Ralph Lauren - Logo-embroidered Cotton-jersey Polo Shirt - Mens - Blue""",Polos,Polos
"""CROSS CAMOU X CASE BLACK ORANGE IPHONE X""",Tech Accessories,Tech Accessories
"""Saks Fifth Avenue Men's COLLECTION BY SAMUELSOHN Classic-Fit Notched Lapel Wool Tuxedo - Black """,Suits,Tuxedos
"""Alexander Mcqueen - Side-stripe Wool-blend Tapered Trousers - Mens - Navy""",Tuxedos,Tuxedos
"""Billy Cloud Sweats in Black""",Active Pants,Active Pants
"""Inis Meáin - Wide-gauge Knitted-linen Cardigan - Mens - Black""",Cardigans,Cardigans
"""Deerupt Mesh Socks Sneakers""",Sneakers,Sneakers
"""Men's Paris By Night Brushed Fleece Oversized Hoodie Sweatshirt""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Off-White Black Diver Balaclava""",T-Shirts,Hats
"""Men's Ascot Suede Slippers""",Slides/Slipper,Slides/Slipper
"""wings-print iPhone XS Max case""",Tech Accessories,Tech Accessories
"""Wide bermuda shorts""",Shorts,Shorts
"""Rick Owens - Side-zip Cotton Track Pants - Mens - Black""",Active Pants,Active Pants
"""Thom Browne Men's Classic Wool Tuxedo - Black """,Tuxedos,Tuxedos
"""Gucci - GG-stripe Silk-faille Pocket Square - Mens - Navy""",Pocket Squares,Pocket Squares
"""Men's Silk-Blend Skull Pattern Socks""",Socks,Socks
"""Slim Jeans""",Denim,Denim
"""Balenciaga - Padded Oversized Logo-print Shirt - Mens - Multi""",T-Shirts,Shirts
"""Breitling Chronomat B01 Chronograph 44mm Stainless Steel And Gold Watch""",Watches,Watches
"""Men's Nike Golf Dri-Fit Victory Polo Shirt""",Polos,Polos
"""Oakley Sylas PRIZM Polarized Sunglasses""",Eyewear,Eyewear
"""x Templa padded vest""",Slides/Slipper,Vests
"""Monogram Motif Leather iPhone X/XS Case""",Tech Accessories,Tech Accessories
"""Moncler Clement Suede-Trimmed Shell Hiking Boots""",Sneakers,Boots
"""Burberry Trackpants in Red""",Active Pants,Active Pants
"""Oversized coat""",T-Shirts,Coats
"""Reigning Champ Men's Cotton Drawstring Hoodie - Heather Grey """,Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Balenciaga Ribbed Logo Cotton-Blend Socks""",Socks,Socks
"""Men's Camo Sateen Trouser Shorts""",Chinos,Shorts
"""Off-White - Set Of Three Stretch-cotton Jersey Boxer Trunks - Mens - White""",Boxers & Briefs,Boxers & Briefs
"""Loro Piana Slim-Fit Washed Cotton-Blend Trousers""",Pants,Pants
"""Men's Bldwn Modern Slim Fit Stretch Selvedge Jeans""",Denim,Denim
"""FF logo slides""",Slides/Slipper,Slides/Slipper
"""Men's Brixton Forte Trucker Hat - Black""",Hats,Hats
"""zip-up padded gilet""",Vests,Vests
"""Men's Magnanni Warwick Sneaker""",Sneakers,Sneakers
"""Off-White - Arrow-print Iphone® Xr Case - Mens - Black""",Tech Accessories,Tech Accessories
"""Sulvam Black and Silver Mesh Tank Top""",T-Shirts,T-Shirts
"""Lekson sandals""",Sandals,Sandals
"""Lekson sandals""",Sandals,Sandals
"""Le de Nîmes Fleurs jeans""",T-Shirts,Denim
"""Cartier Eyewear - C De Cartier Metal \u0026 Acetate Sunglasses - Mens - Gold""",Eyewear,Eyewear
"""Julien sweater""",T-Shirts,Sweaters
"""Saint Laurent Black SL M62 Sunglasses""",Eyewear,Eyewear
"""Folk Assembly Cotton-Poplin Shirt""",Overshirts,Shirts
"""Men's Greyson Queen Bee Short Sleeve Performance Polo""",Polos,Polos
"""Men's Majestic International Ultra Lux Robe""",Robes,Robes
"""John Elliott Men's Beach Hoodie - Oxblood """,Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Balmain - B-logo Leather Belt - Mens - Black""",Belts,Belts
"""Ferragamo Metal Sunglasses W/ Leather""",Eyewear,Eyewear
"""Titanium watch""",Watches,Watches
"""Pyjama shirt""",T-Shirts,Shirts
"""Cotton Boxer Shorts W/ Patches""",Active Pants,Shorts
"""Nemen - Guard Vest Technical Gilet - Mens - Green""",Vests,Vests
"""Gommini Nuovo loafers""",Loafers,Loafers
"""Dior Homme Gold DiorBreaker Sunglasses""",Eyewear,Eyewear
"""Unravel Project Men's Tuxedo Bomber Jacket - Black """,Sweatshirts/Hoodies,Jackets
"""Nike Golf Vapor Pro Full-Grain Leather Golf Shoes""",Sneakers,Sneakers
"""Workwear shorts""",Shorts,Shorts
"""Cufflinks, Inc. Men's Goldtone Moving Parts Scales of Justice Cuff Links - Gold""",Cufflinks,Cufflinks
"""Men's Royce Raglan Hoodie Sweatshirt""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Brunello Cucinelli Men's Polka Dot \u0026 Houndstooth Pocket Square - Purple""",Pocket Squares,Pocket Squares
"""Ermenegildo Zegna Men's Geometric Silk Pocket Square - Amethyst""",Pocket Squares,Pocket Squares
"""HUGO BOSS Men's Shearling-Lined Leather Slippers - Black """,Slides/Slipper,Slides/Slipper
"""1990's zipped leather vest""",Vests,Vests
"""Folk Assembly Cotton-Poplin Shirt""",Overshirts,Shirts
"""square frame sunglasses""",Eyewear,Eyewear
"""Orlebar Brown - Bulldog Swim Shorts - Mens - Grey""",Shorts,Shorts
"""Hod leather belt""",Loafers,Belts
"""Versace - Baroque-print Shell Track Pants - Mens - Green Multi""",Active Pants,Active Pants
"""Vintage canvas belted iPhone case""",Tech Accessories,Tech Accessories
"""Craig Green Cotton Chore Jacket""",Overshirts,Jackets
"""Wool and mohair track pants""",Active Pants,Active Pants
"""Raf Simons Animal Fabric Gloves in Abstract,White""",T-Shirts,Gloves
"""logo embossed slides""",Slides/Slipper,Slides/Slipper
"""Reigning Champ Men's Engineered Cotton Hoodie - Heather Ash """,Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Rag \u0026 Bone Men's Fit 2 Corduroy Pants - Army """,Chinos,Pants
"""Rick Owens Black Basic Tank Top""",T-Shirts,T-Shirts
"""Men's Banana-Print Swim Briefs""",Shorts,Boxers & Briefs
"""Gucci Grey and Red Bees and Hearts Suit""",Suits,Suits
"""Men's Teva Hurricane Xlt 2 Sandal""",Sandals,Sandals
"""Men's Distressed Logo-Print Hoodie Sweatshirt""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Etro Navy Paisley Logo Messenger Bag""",Bags,Bags
"""Versace Jeans Couture Black Logo Socks""",Socks,Socks
"""Printed Sweater W/ T-shirt Collar""",T-Shirts,Sweatshirts/Hoodies
"""Eyevan 7285 Brown 728 Sunglasses""",Eyewear,Eyewear
"""Tateossian Men's Tiger Iron Cufflinks - Brown""",Cufflinks,Cufflinks
"""Innerraum Black I19 Wallet Belt Bag""",Bags,Wallets
"""Golden Goose Navy Leather Slide Sneakers""",Sneakers,Sneakers
"""Air Max 270 trainers""",Sneakers,Sneakers
"""Striped Logo Virgin Wool Knit Cardigan""",Cardigans,Cardigans
"""Salvatore Ferragamo Men's Classic 60MM Aviator Sunglasses - Shiny Gold""",Eyewear,Eyewear
"""Kenzo Black Mule Tiger Head Pool Sandals""",Slides/Slipper,Sandals
"""Tateossian Men's Bullseye Cufflinks - White""",Cufflinks,Cufflinks
"""Club C Revenge Leather Sneakers""",Sneakers,Sneakers
"""Leather belt with double G buckle""",Belts,Belts
"""Mile loafers """,Loafers,Loafers
"""Men's Majestic International Shanti Chambray Cotton Robe""",Robes,Robes
"""Men's Peter Millar Marina Vest""",Vests,Vests
"""Calvin Klein Underwear Microfiber Stretch 3 Pack Boxer Briefs""",Boxers & Briefs,Boxers & Briefs
"""Drkshdw Cotton Jersey Boxer Shorts""",Active Pants,Boxers & Briefs
"""Train Visibility Sweatshirt \u0026 Sweatpants""",Sweatshirts/Hoodies,Active Pants
"""Off-White Men's 3-Pack Stretch Cotton Boxer Shorts - Black """,Boxers & Briefs,Shorts
"""Moschino Yellow Monster Hands iPhone X Case""",Tech Accessories,Tech Accessories
"""Saint Laurent Men's YSL Monogram Leather Belt - Noir """,Belts,Belts
"""ZSP4 trainers""",Sneakers,Sneakers
"""Men's Big \u0026 Tall Canali Milano Classic Fit Solid Wool Suit""",Suits,Suits
"""Runner Crest Leather Sneakers""",Sneakers,Sneakers
"""Ray-Ban Men's RB2140 50MM Classic Wayfarer Sunglasses - Red""",Eyewear,Eyewear
"""Long sleeve t-shirt""",Shirts,T-Shirts
"""Hibiscus swimming shorts""",Shorts,Shorts
"""Dior Men's Diorscales 58MM Aviator Sunglasses - Silver""",Eyewear,Eyewear
"""Sekford Watches - Type 1a Stainless-steel And Saffiano-leather Watch - Mens - Blue""",Watches,Watches
"""Brunello Cucinelli - Pintucked Cotton-blend Track Pants - Mens - Navy""",Active Pants,Active Pants
"""Pocket sweater""",Jackets,Sweaters
"""Men's Olukai Kahu 'Ili Collapsible Sneaker""",Sneakers,Sneakers
"""Barton Perreira Men's Aeronaut 60MM Navigator Sunglasses - Gold Yellow""",Eyewear,Eyewear
"""Canada Goose Men's Waterproof Down Insulated Gloves - Black """,Gloves,Gloves
"""Kiton Men's Medallion Print Silk Pocket Square - Green""",Pocket Squares,Pocket Squares
"""Men's Eaton Classic Tapered Chino Pants""",Chinos,Chinos
"""Versace Men's Medusa Slippers - Black """,Slides/Slipper,Slides/Slipper
"""Men's Printed Suede Down Vest""",Vests,Vests
"""Thom Browne Khaki Unconstructed Chino Trousers""",Chinos,Chinos
"""Men's Crewneck Short-Sleeve Cotton T-Shirt, Navy""",T-Shirts,T-Shirts
"""Sewing print pocket square""",Pocket Squares,Pocket Squares
"""Men's Furley Vintage Check Pool Slide Sandals""",Slides/Slipper,Slides/Slipper
"""Men's Kurke Hoodie Sweatshirt w/ Vintage Check Trim""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Valentino - V-logo Jacquard-stripe Jersey Track Pants - Mens - Black""",Active Pants,Active Pants
"""Horsebit quilted slide sandals""",Slides/Slipper,Slides/Slipper
"""Off-White Black Industrial Tape Boxer Briefs""",Boxers & Briefs,Boxers & Briefs
"""John Lobb - Zennor Leather Derby Shoes - Mens - Black""",Derbys,Derbys
"""Men's Crewneck Striped Linen T-Shirt""",T-Shirts,T-Shirts
"""Zip-up Cotton Blend Sweatshirt Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Acne Studios North Stay Mid-Rise Slim-Leg Jeans""",Denim,Denim
"""Boy Fit Shirt""",T-Shirts,Shirts
"""Palm Angels Men's Side-Stripe Track Pants - Black White """,Active Pants,Active Pants
"""Sekford Watches - Type 1a Stainless-steel And Saffiano-leather Watch - Mens - Red Multi""",Watches,Watches
"""Balenciaga - Squared Cat-eye Optyl Glasses - Mens - Black""",Eyewear,Eyewear
"""12.5cm Ultra Skinny Cotton Denim Jeans""",Denim,Denim
"""Gel-Kinsei-OG Trainers""",Sneakers,Sneakers
"""Burberry Parker Tee in Black""",T-Shirts,T-Shirts
"""Jacques Marie Mage - Jagger Aviator Titanium Sunglasses - Mens - Silver""",Eyewear,Eyewear
"""Men's 7 Gauge Fisherman's Rib Zip Sweater""",Sweaters,Sweaters
"""Pearce loafers""",Loafers,Loafers
"""Top in cotton jersey""",T-Shirts,T-Shirts
"""Men's Cole Haan Feathercraft Grand Stitchlite Plain Toe Derby""",Derbys,Derbys
"""Versace Printed Leather Slides""",Slides/Slipper,Slides/Slipper
"""Marsèll - Strasacco Slipper Shoes - Mens - Brown""",Slides/Slipper,Slides/Slipper
"""Logo Intarsia Toe Socks""",Sneakers,Socks
"""Men's Charles 7\"" Palm Tree Swim Shorts""",Shorts,Shorts
"""MCM Visetos Original iPhone X / XS Case""",Tech Accessories,Tech Accessories
"""Raf Simons - X Dr. Martens 1461 Lace-up Leather Derby Boots - Mens - Black""",Derbys,Boots
"""Men's Nike Sportswear Club Pullover Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Tateossian Men's Bullseye Semi-Precious Cufflinks - Silver""",Cufflinks,Cufflinks
"""Men's Logo-Graphic T-Shirt""",T-Shirts,T-Shirts
"""Tateossian Men's Rotating Poker Chip Cufflinks - Red Blue""",Cufflinks,Cufflinks
"""G-Flash velvet loafers""",Loafers,Loafers
"""Isaia Men's Double Play Windowpane Wool Suit Jacket - Blue """,Suits,Suits
"""Nike Golf Air Max 1g Coated Mesh Golf Shoes""",Sneakers,Sneakers
"""polo collar shirt """,Polos,Shirts
"""Helmut Lang Men's Alien Pullover Hoodie - Soda Blue """,Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""FF fabric trainers""",Sneakers,Sneakers
"""Db Round Metal Sunglasses""",Eyewear,Eyewear
"""Officine Generale Navy Oliver Slim Tapered Cotton-Twill Chinos""",Chinos,Chinos
"""Derek Rose - Morgan Leather Slipper Shoes - Mens - Navy""",Slides/Slipper,Slides/Slipper
"""Thom Browne Men's Jogging Pants - Navy """,Active Pants,Active Pants
"""Classic Gcds Wool Blend Balaclava""",Sneakers,Hats
"""Men's Rockport Total Motion Sport Wingtip Derby""",Derbys,Derbys
"""Rock N' Roll Cufflinks""",Cufflinks,Cufflinks
"""Men's Lenny Side-Stripe Chino Pants""",Chinos,Chinos
"""Frescobol Carioca - Leblon Organic-cotton Jersey Track Pants - Mens - Black""",Active Pants,Active Pants
"""Men's Neon Camo Front-Zip Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Men's Volcom Cj Collins Short Sleeve Button-Up Shirt""",Shirts,Shirts
"""Saks Fifth Avenue Men's COLLECTION Garment Dyed Merino Wool Cardigan - Charcoal """,Cardigans,Cardigans
"""Men's Regular Boxer Briefs""",Boxers & Briefs,Shorts
"""Oversized t-shirt""",T-Shirts,T-Shirts
"""16.5cm Cool Guy Cotton Denim Jeans""",Denim,Denim
"""distressed slides""",Slides/Slipper,Slides/Slipper
"""Bonobos Men's Slim-Fit Tech Chinos - New Navy """,Chinos,Chinos
"""Men's Peak-Lapel Two-Piece Tuxedo Suit""",Tuxedos,Tuxedos
"""Men's Capsule Mask Heavy Cotton Hoodie Sweatshirt""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""x Random Identities Arizona sandals""",Sandals,Sandals
"""Benassi Solarsoft Slide SP pool slides""",Sneakers,Slides/Slipper
"""Husbands Paris Delon Wool-Mohair Trousers""",Active Pants,Pants
"""Alexander Mcqueen - Skull-embellished Navigator Sunglasses - Mens - Gold""",Eyewear,Eyewear
"""Tateossian Men's Bullseye Semi-Precious Cufflinks - Onyx""",Cufflinks,Cufflinks
"""Saint Laurent Transparent SL 337 Glasses""",Eyewear,Eyewear
"""Men's Icecream They Were Cones Graphic Tee""",T-Shirts,T-Shirts
"""Jacquemus Blue Les Lunettes Soleil Sunglasses""",Eyewear,Eyewear
"""Workwear shorts""",Shorts,Shorts
"""Men's Patagonia Logo Trucker Hat - Blue""",Hats,Hats
"""Valentino Go Skull Tee in White""",T-Shirts,T-Shirts
"""Veilance Demlo Nylon Jacket""",Shorts,Jackets
"""Men's Fine Pinstripe Straight Cotton Pants""",Chinos,Chinos
"""camouflage print holdall""",T-Shirts,Bags
"""Christian Louboutin - Loubiphone Rubber Iphone® X/xs Case - Mens - Black Red""",Tech Accessories,Tech Accessories
"""Rick Owens Outershirt in Black""",Active Pants,Overshirts
"""Thorsun - Luna Geometric-print Swim Shorts - Mens - Blue Multi""",Shorts,Shorts
"""Men's x Rhude Contrast-Stripe Track Pants""",Active Pants,Active Pants
"""Dries Van Noten 4cm Black Suede-Trimmed Webbing Belt""",Belts,Belts
"""Phibbs Hibiscus swimming trunks""",Shorts,Shorts
"""Gel-Kinsei-OG Trainers""",Sneakers,Sneakers
"""Saint Laurent Silver Double Chain Necklace""",Cufflinks,Jewelry
"""striped polo shirt""",Polos,Polos
"""The North Face 1996 Retro Nuptse Vest in Red""",Vests,Vests
"""double pocket overshirt""",Overshirts,Overshirts
"""Men's Marked Cherub Pullover Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Illesteva - Murdoch Round Acetate Sunglasses - Mens - Black""",Eyewear,Eyewear
"""Printed Techno Puffer Jacket W/ Hood""",Vests,Jackets
"""Jil Sander Archer Cotton-Canvas Shirt""",Slides/Slipper,Shirts
"""Saint Laurent Black Coated Skinny Jeans""",Denim,Denim
"""Isaia Men's Woven Wool Pocket Square - Blue""",Pocket Squares,Pocket Squares
"""long leather gloves""",Gloves,Gloves
"""Pack Of 3 Stretch Cotton Briefs""",Boxers & Briefs,Boxers & Briefs
"""Cartier Eyewear - C De Cartier Aviator Titanium Sunglasses - Mens - Gold""",Eyewear,Eyewear
"""Cardigan""",Cardigans,Cardigans
"""Men's Ted Baker London Endurance Extra Slim Fit Geometric Dress Shirt""",Shirts,Shirts
"""Emporio Armani Men's M Line Tuxedo Suit - Black """,Tuxedos,Tuxedos
"""Palm Angels Men's Palm Angels x Under Armour Loose Jogging Pants - Melange Grey Black """,Active Pants,Active Pants
"""Y-3 Reversible Cap""",Hats,Hats
"""Maison Margiela Union Retro Fitt in Neutral""",Sneakers,Sneakers
"""Polo Ralph Lauren Men's Straight Fit Linen-Blend Pants - Desert Khaki """,Chinos,Chinos
"""Tom Ford Black Blue Block Bridge Glasses""",Eyewear,Eyewear
"""1017 ALYX 9SM - Trousers""",T-Shirts,Pants
"""AMI Embroidered Cotton T-Shirt""",T-Shirts,T-Shirts
"""Men's Hologram Logo Graphic T-Shirt""",T-Shirts,T-Shirts
"""Translucent Leather Belt Bag""",Bags,Bags
"""Universal Works Pleated Cotton Pants""",T-Shirts,Chinos
"""Ancient Greek Sandals - Hero Leather Flip Flops - Mens - Brown""",Sandals,Sandals
"""18cm V Logo Denim Pants""",Chinos,Denim
"""Frame - L'homme Slim-leg Jeans - Mens - Black""",Denim,Denim
"""Omc Track Pants""",Active Pants,Active Pants
"""Fox swimming shorts""",Shorts,Shorts
"""Canada Goose Men's Northern Utility Glove - Black """,Gloves,Gloves
"""Suicoke ZAVO-vhl Slipper in Black""",Slides/Slipper,Slides/Slipper
"""20mm Gucci Garden Cufflinks""",Cufflinks,Cufflinks
"""Loewe Leather-Trimmed Checked Wool-Blend Overshirt""",T-Shirts,Overshirts
"""Men's Hugo Twist Multifunction Bracelet Watch, 44Mm""",Watches,Watches
"""Iffley Road - Dartmoor Merino Wool Top - Mens - Grey""",Active Pants,T-Shirts
"""Dries Van Noten Off-White and Black Satin Floral Robe""",Robes,Robes
"""Giant Leather \u0026 Mesh Low Top Sneakers""",Sneakers,Sneakers
"""RETROSUPERFUTURE Black Numero 57 Glasses""",Eyewear,Eyewear
"""Men's Velvet Tuxedo Jacket""",Tuxedos,Tuxedos
"""Moncler Genius 5 Moncler Craig Green White T-Shirt""",T-Shirts,T-Shirts
